aerodromo,periodo,qtde_ocorr,perc_ocorr
SDIH,18:00 às 00:00,2,0.02
SNSH,12:00 às 18:00,2,0.02
SNEJ,12:00 às 18:00,2,0.02
SNDV,18:00 às 00:00,2,0.02
SIVU,00:00 às 06:00,2,0.02
SSKG,12:00 às 18:00,2,0.02
SDJA,00:00 às 06:00,2,0.02
SDIP,12:00 às 18:00,2,0.02
SNDH,12:00 às 18:00,2,0.02
SWBB,18:00 às 00:00,2,0.02
SIXD,12:00 às 18:00,2,0.02
SSVI,12:00 às 18:00,2,0.02
SILT,12:00 às 18:00,2,0.02
SNRU,06:00 às 12:00,2,0.02
SNFX,12:00 às 18:00,2,0.02
SSZR,12:00 às 18:00,2,0.02
SWBC,12:00 às 18:00,2,0.02
SWCA,18:00 às 00:00,2,0.02
SNGA,12:00 às 18:00,2,0.02
SNPC,00:00 às 06:00,2,0.02
SIQE,00:00 às 06:00,2,0.02
SNJO,00:00 às 06:00,2,0.02
SIQE,12:00 às 18:00,2,0.02
SDDN,00:00 às 06:00,2,0.02
SIQE,18:00 às 00:00,2,0.02
SIRI,12:00 às 18:00,2,0.02
SIRI,06:00 às 12:00,2,0.02
SNJD,00:00 às 06:00,2,0.02
SNMD,18:00 às 00:00,2,0.02
SNMD,00:00 às 06:00,2,0.02
SNME,12:00 às 18:00,2,0.02
SDEM,12:00 às 18:00,2,0.02
SNOF,12:00 às 18:00,2,0.02
SWEN,12:00 às 18:00,2,0.02
SSGA,00:00 às 06:00,2,0.02
SIVU,18:00 às 00:00,2,0.02
SSIJ,18:00 às 00:00,2,0.02
SWEJ,18:00 às 00:00,2,0.02
SWCZ,18:00 às 00:00,2,0.02
SDGY,00:00 às 06:00,2,0.02
SNDC,06:00 às 12:00,2,0.02
SDIG,12:00 às 18:00,2,0.02
SSJI,12:00 às 18:00,2,0.02
SILQ,00:00 às 06:00,2,0.02
SSNH,00:00 às 06:00,2,0.02
SSKG,00:00 às 06:00,2,0.02
SSOS,18:00 às 00:00,2,0.02
SJWQ,18:00 às 00:00,2,0.02
SSCN,18:00 às 00:00,2,0.02
SJDA,00:00 às 06:00,2,0.02
SJDU,18:00 às 00:00,2,0.02
SSCL,18:00 às 00:00,2,0.02
SIBK,00:00 às 06:00,2,0.02
SDVE,12:00 às 18:00,2,0.02
SNXW,12:00 às 18:00,2,0.02
SSGP,00:00 às 06:00,2,0.02
SJQN,12:00 às 18:00,2,0.02
SSBN,00:00 às 06:00,2,0.02
SSKZ,18:00 às 00:00,2,0.02
SSAK,12:00 às 18:00,2,0.02
SSBL,18:00 às 00:00,2,0.02
SDVH,00:00 às 06:00,2,0.02
SSAK,00:00 às 06:00,2,0.02
SJNP,06:00 às 12:00,2,0.02
SDZD,00:00 às 06:00,2,0.02
SSBG,18:00 às 00:00,2,0.02
SSBG,00:00 às 06:00,2,0.02
SSNG,00:00 às 06:00,2,0.02
SSOG,00:00 às 06:00,2,0.02
SJLY,06:00 às 12:00,2,0.02
SIBO,00:00 às 06:00,2,0.02
SJYG,18:00 às 00:00,2,0.02
SSFB,12:00 às 18:00,2,0.02
SSOS,00:00 às 06:00,2,0.02
SSRS,18:00 às 00:00,2,0.02
SDOI,00:00 às 06:00,2,0.02
SSER,12:00 às 18:00,2,0.02
SSQQ,00:00 às 06:00,2,0.02
SSOG,18:00 às 00:00,2,0.02
SSKM,12:00 às 18:00,2,0.02
SSKS,12:00 às 18:00,2,0.02
SNCT,00:00 às 06:00,2,0.02
SJCY,12:00 às 18:00,2,0.02
SSPI,12:00 às 18:00,2,0.02
SSKT,12:00 às 18:00,2,0.02
SIFC,00:00 às 06:00,2,0.02
SNCL,18:00 às 00:00,2,0.02
SNBR,12:00 às 18:00,2,0.02
SNBO,12:00 às 18:00,2,0.02
SIFC,06:00 às 12:00,2,0.02
SIFC,12:00 às 18:00,2,0.02
SDRS,18:00 às 00:00,2,0.02
SDRV,12:00 às 18:00,2,0.02
SNBA,12:00 às 18:00,2,0.02
SSKT,00:00 às 06:00,2,0.02
SNWC,00:00 às 06:00,2,0.02
SSKW,18:00 às 00:00,2,0.02
SNYP,12:00 às 18:00,2,0.02
SBCX,18:00 às 00:00,2,0.02
SDCD,00:00 às 06:00,2,0.02
SBPV,12:00 às 18:00,2,0.02
SBNT,00:00 às 06:00,2,0.02
SBAU,00:00 às 06:00,2,0.02
SBPC,18:00 às 00:00,2,0.02
SBPC,12:00 às 18:00,2,0.02
SBPG,12:00 às 18:00,2,0.02
SBPG,06:00 às 12:00,2,0.02
SWMW,00:00 às 06:00,2,0.02
SBPK,18:00 às 00:00,2,0.02
SBPK,12:00 às 18:00,2,0.02
SWMV,18:00 às 00:00,2,0.02
SBPP,18:00 às 00:00,2,0.02
SWLV,00:00 às 06:00,2,0.02
SBAR,18:00 às 00:00,2,0.02
SBPS,06:00 às 12:00,2,0.02
SBPV,06:00 às 12:00,2,0.02
SWJA,18:00 às 00:00,2,0.02
SBRB,06:00 às 12:00,2,0.02
SBAQ,00:00 às 06:00,2,0.02
SBAQ,18:00 às 00:00,2,0.02
SBAE,00:00 às 06:00,2,0.02
SBSI,18:00 às 00:00,2,0.02
SBSJ,06:00 às 12:00,2,0.02
SWLB,12:00 às 18:00,2,0.02
SWLB,18:00 às 00:00,2,0.02
SBST,12:00 às 18:00,2,0.02
SWXV,18:00 às 00:00,2,0.02
SBTA,12:00 às 18:00,2,0.02
SBTF,06:00 às 12:00,2,0.02
SWJW,12:00 às 18:00,2,0.02
SBTR,18:00 às 00:00,2,0.02
SBNT,12:00 às 18:00,2,0.02
SBNM,06:00 às 12:00,2,0.02
SBNM,12:00 às 18:00,2,0.02
SWNO,18:00 às 00:00,2,0.02
SBCR,12:00 às 18:00,2,0.02
SBCP,00:00 às 06:00,2,0.02
SWSI,06:00 às 12:00,2,0.02
SBCP,18:00 às 00:00,2,0.02
SWRO,18:00 às 00:00,2,0.02
SBFS,18:00 às 00:00,2,0.02
SBFS,12:00 às 18:00,2,0.02
SWRD,00:00 às 06:00,2,0.02
SWRD,12:00 às 18:00,2,0.02
SBCM,18:00 às 00:00,2,0.02
SBCJ,12:00 às 18:00,2,0.02
SBCH,12:00 às 18:00,2,0.02
SBCH,18:00 às 00:00,2,0.02
SBGP,12:00 às 18:00,2,0.02
SBGV,00:00 às 06:00,2,0.02
SBHT,12:00 às 18:00,2,0.02
SBHT,00:00 às 06:00,2,0.02
SWPI,12:00 às 18:00,2,0.02
SBJF,00:00 às 06:00,2,0.02
SWPD,00:00 às 06:00,2,0.02
SBJV,06:00 às 12:00,2,0.02
SBBU,06:00 às 12:00,2,0.02
SBLE,06:00 às 12:00,2,0.02
SBMG,06:00 às 12:00,2,0.02
SBMK,06:00 às 12:00,2,0.02
SWNS,00:00 às 06:00,2,0.02
SBMQ,18:00 às 00:00,2,0.02
SWNS,12:00 às 18:00,2,0.02
SBMS,12:00 às 18:00,2,0.02
SBTV,12:00 às 18:00,2,0.02
SNJX,00:00 às 06:00,2,0.02
9PAA,12:00 às 18:00,2,0.02
SDAA,12:00 às 18:00,2,0.02
SBVG,00:00 às 06:00,2,0.02
SDAG,18:00 às 00:00,2,0.02
SDAI,06:00 às 12:00,2,0.02
SDBK,18:00 às 00:00,2,0.02
SDBN,12:00 às 18:00,2,0.02
SBVH,00:00 às 06:00,2,0.02
SWGN,00:00 às 06:00,2,0.02
SBUR,18:00 às 00:00,2,0.02
SBVH,12:00 às 18:00,2,0.02
SBVC,18:00 às 00:00,2,0.02
SWGI,06:00 às 12:00,2,0.02
SDAA,00:00 às 06:00,2,0.02
SDBB,18:00 às 00:00,2,0.02
SBUY,18:00 às 00:00,2,0.02
SDAM,06:00 às 12:00,2,0.02
SNZA,18:00 às 00:00,1,0.01
SNYR,00:00 às 06:00,1,0.01
SNZA,12:00 às 18:00,1,0.01
SWPI,06:00 às 12:00,1,0.01
SWPM,00:00 às 06:00,1,0.01
SNYE,18:00 às 00:00,1,0.01
SNXW,06:00 às 12:00,1,0.01
SWPQ,12:00 às 18:00,1,0.01
SNZA,06:00 às 12:00,1,0.01
SNYS,00:00 às 06:00,1,0.01
SSTH,18:00 às 00:00,1,0.01
SNXT,12:00 às 18:00,1,0.01
SNVS,12:00 às 18:00,1,0.01
SNVB,00:00 às 06:00,1,0.01
SNVC,18:00 às 00:00,1,0.01
SNVI,06:00 às 12:00,1,0.01
SNVR,18:00 às 00:00,1,0.01
SNVR,12:00 às 18:00,1,0.01
SNVR,06:00 às 12:00,1,0.01
SNVS,06:00 às 12:00,1,0.01
SNXR,18:00 às 00:00,1,0.01
SNVS,00:00 às 06:00,1,0.01
SWEK,18:00 às 00:00,1,0.01
SNWC,12:00 às 18:00,1,0.01
SNWS,06:00 às 12:00,1,0.01
SSAC,12:00 às 18:00,1,0.01
SWPY,18:00 às 00:00,1,0.01
SNXI,18:00 às 00:00,1,0.01
SSAN,18:00 às 00:00,1,0.01
SWGI,12:00 às 18:00,1,0.01
SWEI,12:00 às 18:00,1,0.01
SWOZ,12:00 às 18:00,1,0.01
SSBN,06:00 às 12:00,1,0.01
SSBR,12:00 às 18:00,1,0.01
SSCD,18:00 às 00:00,1,0.01
SSCE,18:00 às 00:00,1,0.01
SSCF,12:00 às 18:00,1,0.01
SSCK,18:00 às 00:00,1,0.01
SSCK,12:00 às 18:00,1,0.01
SWON,06:00 às 12:00,1,0.01
SWON,12:00 às 18:00,1,0.01
SWOK,00:00 às 06:00,1,0.01
SWOB,12:00 às 18:00,1,0.01
SWDC,12:00 às 18:00,1,0.01
SSCN,00:00 às 06:00,1,0.01
SWOB,18:00 às 00:00,1,0.01
SWEF,00:00 às 06:00,1,0.01
SSBL,06:00 às 12:00,1,0.01
SWUQ,18:00 às 00:00,1,0.01
SWPA,18:00 às 00:00,1,0.01
SSAK,18:00 às 00:00,1,0.01
SNVB,12:00 às 18:00,1,0.01
SSAP,18:00 às 00:00,1,0.01
SSAQ,18:00 às 00:00,1,0.01
SSAQ,00:00 às 06:00,1,0.01
SSAU,06:00 às 12:00,1,0.01
SWUQ,12:00 às 18:00,1,0.01
SWEJ,06:00 às 12:00,1,0.01
SSAY,18:00 às 00:00,1,0.01
SSAY,00:00 às 06:00,1,0.01
SWPD,18:00 às 00:00,1,0.01
SWEJ,12:00 às 18:00,1,0.01
SWUV,12:00 às 18:00,1,0.01
SWGL,18:00 às 00:00,1,0.01
SWPC,12:00 às 18:00,1,0.01
SWPY,00:00 às 06:00,1,0.01
SNUN,06:00 às 12:00,1,0.01
SNUZ,06:00 às 12:00,1,0.01
SNMH,12:00 às 18:00,1,0.01
SWSI,18:00 às 00:00,1,0.01
SNMM,00:00 às 06:00,1,0.01
SNMU,12:00 às 18:00,1,0.01
SNMU,00:00 às 06:00,1,0.01
SNMX,18:00 às 00:00,1,0.01
SNNL,00:00 às 06:00,1,0.01
SNOD,12:00 às 18:00,1,0.01
SWFX,18:00 às 00:00,1,0.01
SNOG,18:00 às 00:00,1,0.01
SNOG,12:00 às 18:00,1,0.01
SWRZ,00:00 às 06:00,1,0.01
SWRW,06:00 às 12:00,1,0.01
SWFX,12:00 às 18:00,1,0.01
SWFN,06:00 às 12:00,1,0.01
SNPC,12:00 às 18:00,1,0.01
SNML,12:00 às 18:00,1,0.01
SNMH,18:00 às 00:00,1,0.01
SWQC,00:00 às 06:00,1,0.01
SWSI,12:00 às 18:00,1,0.01
SNKE,18:00 às 00:00,1,0.01
SNKE,06:00 às 12:00,1,0.01
SWSI,00:00 às 06:00,1,0.01
SWSL,06:00 às 12:00,1,0.01
SNKF,12:00 às 18:00,1,0.01
SNKF,00:00 às 06:00,1,0.01
